DCNv3-FPN - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 11:33:12
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9962
IDF1:               0.9981
ID Switches:        1120
Fragmentations:     3778
Mostly Tracked (MT):7294 (87.5%)
Mostly Lost (ML):   57 (0.7%)
Track IDs Assigned: 8333
Unique Vehicles:    5911
Duplicate Tracks:   2422
GFLOPs:             nan
FPS:                58.67
Runtime:            03:04:04
Class Switches:     6416

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2706
  MOTORCYCLE      397
  TRICYCLE        43
  VAN             490
  BUS             0
  TRUCK           0
  TOTAL           3636

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
10:40:00-10:45:00 14       3        0        4        0        0        21      
10:45:00-10:50:00 11       5        0        0        0        0        16      
10:50:00-10:55:00 13       6        0        0        0        0        19      
10:55:00-11:00:00 10       5        0        1        0        0        16      
11:00:00-11:05:00 7        4        0        4        0        0        15      
11:05:00-11:10:00 9        5        0        3        0        0        17      
11:10:00-11:15:00 13       4        0        2        0        0        19      
11:15:00-11:20:00 14       5        0        1        0        0        20      
11:20:00-11:25:00 17       7        0        4        0        0        28      
11:25:00-11:30:00 10       3        0        0        0        0        13      
11:30:00-11:35:00 11       5        0        0        0        0        16      
11:35:00-11:40:00 11       3        1        2        0        0        17      
11:40:00-11:45:00 10       1        0        1        0        0        12      
11:45:00-11:50:00 8        1        0        1        0        0        10      
11:50:00-11:55:00 7        4        0        0        0        0        11      
11:55:00-12:00:00 7        0        0        0        0        0        7       

SWITCH STATISTICS (over 11:59:59 period)
------------------------------------------------------------
ID Switches Total:                      1120
ID Switches / Hour:                     93.33
Counted Vehs with ID Switch:            1260/3636 (34.65%)
Tracks with Class Switch:               1810/8333 (21.72%)
Counted Vehs with Class Switch:         1160/3636 (31.90%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     6416
On Counted Vehicles:                    4924
Avg per Affected Counted Veh:           4.24
Per Hour:                               534.67

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     3644
On Counted Vehicles:                    2650
Avg per Affected Counted Veh:           2.28
Per Hour:                               303.67

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 14       72       132      10.61      54.55     
00:05:00-00:10:00 32       166      194      16.49      85.57     
00:10:00-00:15:00 22       117      185      11.89      63.24     
00:15:00-00:20:00 24       178      198      12.12      89.90     
00:20:00-00:25:00 24       169      186      12.90      90.86     
00:25:00-00:30:00 14       60       131      10.69      45.80     
00:30:00-00:35:00 20       77       129      15.50      59.69     
00:35:00-00:40:00 14       142      151      9.27       94.04     
00:40:00-00:45:00 19       129      163      11.66      79.14     
00:45:00-00:50:00 17       46       117      14.53      39.32     
00:50:00-00:55:00 9        26       100      9.00       26.00     
00:55:00-01:00:00 24       158      121      19.83      130.58    
01:00:00-01:05:00 14       108      162      8.64       66.67     
01:05:00-01:10:00 22       76       169      13.02      44.97     
01:10:00-01:15:00 18       90       131      13.74      68.70     
01:15:00-01:20:00 5        42       77       6.49       54.55     
01:20:00-01:25:00 8        20       60       13.33      33.33     
01:25:00-01:30:00 23       130      117      19.66      111.11    
01:30:00-01:35:00 4        35       51       7.84       68.63     
01:35:00-01:40:00 6        1        33       18.18      3.03      
01:40:00-01:45:00 11       96       86       12.79      111.63    
01:45:00-01:50:00 21       126      170      12.35      74.12     
01:50:00-01:55:00 1        20       58       1.72       34.48     
01:55:00-02:00:00 19       76       99       19.19      76.77     
02:00:00-02:05:00 10       32       56       17.86      57.14     
02:05:00-02:10:00 17       93       114      14.91      81.58     
02:10:00-02:15:00 6        42       38       15.79      110.53    
02:15:00-02:20:00 10       25       59       16.95      42.37     
02:20:00-02:25:00 17       54       52       32.69      103.85    
02:25:00-02:30:00 4        4        19       21.05      21.05     
02:30:00-02:35:00 4        19       30       13.33      63.33     
02:35:00-02:40:00 4        2        28       14.29      7.14      
02:40:00-02:45:00 4        0        26       15.38      0.00      
02:45:00-02:50:00 2        10       19       10.53      52.63     
02:50:00-02:55:00 4        15       23       17.39      65.22     
02:55:00-03:00:00 2        22       43       4.65       51.16     
03:00:00-03:05:00 6        21       27       22.22      77.78     
03:05:00-03:10:00 3        38       21       14.29      180.95    
03:10:00-03:15:00 6        20       41       14.63      48.78     
03:15:00-03:20:00 2        8        36       5.56       22.22     
03:20:00-03:25:00 4        24       36       11.11      66.67     
03:25:00-03:30:00 6        22       35       17.14      62.86     
03:30:00-03:35:00 1        22       24       4.17       91.67     
03:35:00-03:40:00 5        18       35       14.29      51.43     
03:40:00-03:45:00 1        18       14       7.14       128.57    
03:45:00-03:50:00 2        0        15       13.33      0.00      
03:50:00-03:55:00 2        12       28       7.14       42.86     
03:55:00-04:00:00 1        4        19       5.26       21.05     
04:00:00-04:05:00 1        1        12       8.33       8.33      
04:05:00-04:10:00 2        6        23       8.70       26.09     
04:10:00-04:15:00 3        11       25       12.00      44.00     
