DCNv3-FPN - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 20:56:04
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n-neck-fpn/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9173
IDF1:               0.9187
ID Switches:        844
Mostly Tracked (MT):(91.2%)
Mostly Lost (ML):   (0.3%)
GFLOPs:             nan
FPS:                57.75
Runtime:            02:42:14
Class Switches:     8155

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4702
  MOTORCYCLE      331
  TRICYCLE        191
  VAN             525
  BUS             2
  TRUCK           12
  TOTAL           5763

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
Counted Vehs with Class Switch:         1991/5763 (34.55%)

CLASS SWITCHES - PER FRAME
------------------------------------------------------------
Total (all tracks):                     8155
On Counted Vehicles:                    7188
Avg per Affected Counted Veh:           3.61
Per Hour:                               783.42

CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     4826
On Counted Vehicles:                    4163
Avg per Affected Counted Veh:           2.09
Per Hour:                               463.61

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 3        56       88       3.41       63.64     
00:05:00-00:10:00 8        89       111      7.21       80.18     
00:10:00-00:15:00 9        123      120      7.50       102.50    
00:15:00-00:20:00 4        93       116      3.45       80.17     
00:20:00-00:25:00 7        68       128      5.47       53.12     
00:25:00-00:30:00 10       118      100      10.00      118.00    
00:30:00-00:35:00 10       120      125      8.00       96.00     
00:35:00-00:40:00 15       185      129      11.63      143.41    
00:40:00-00:45:00 16       158      117      13.68      135.04    
00:45:00-00:50:00 4        60       91       4.40       65.93     
00:50:00-00:55:00 33       139      145      22.76      95.86     
00:55:00-01:00:00 20       149      144      13.89      103.47    
01:00:00-01:05:00 15       102      114      13.16      89.47     
01:05:00-01:10:00 11       67       111      9.91       60.36     
01:10:00-01:15:00 6        66       118      5.08       55.93     
01:15:00-01:20:00 20       142      138      14.49      102.90    
01:20:00-01:25:00 10       132      127      7.87       103.94    
01:25:00-01:30:00 11       62       142      7.75       43.66     
01:30:00-01:35:00 14       74       133      10.53      55.64     
01:35:00-01:40:00 16       146      133      12.03      109.77    
01:40:00-01:45:00 11       78       131      8.40       59.54     
01:45:00-01:50:00 19       131      148      12.84      88.51     
01:50:00-01:55:00 29       121      170      17.06      71.18     
01:55:00-02:00:00 21       155      170      12.35      91.18     
02:00:00-02:05:00 12       101      143      8.39       70.63     
02:05:00-02:10:00 15       122      156      9.62       78.21     
02:10:00-02:15:00 22       146      147      14.97      99.32     
02:15:00-02:20:00 19       132      137      13.87      96.35     
02:20:00-02:25:00 8        98       117      6.84       83.76     
02:25:00-02:30:00 15       205      99       15.15      207.07    
02:30:00-02:35:00 2        47       71       2.82       66.20     
02:35:00-02:40:00 1        53       57       1.75       92.98     
02:40:00-02:45:00 4        33       47       8.51       70.21     
02:45:00-02:50:00 0        20       50       0.00       40.00     
02:50:00-02:55:00 4        37       75       5.33       49.33     
02:55:00-03:00:00 2        26       54       3.70       48.15     
03:00:00-03:05:00 2        57       64       3.12       89.06     
03:05:00-03:10:00 4        45       110      3.64       40.91     
03:10:00-03:15:00 6        96       104      5.77       92.31     
03:15:00-03:20:00 5        53       81       6.17       65.43     
03:20:00-03:25:00 1        44       61       1.64       72.13     
03:25:00-03:30:00 6        64       73       8.22       87.67     
03:30:00-03:35:00 1        50       64       1.56       78.12     
03:35:00-03:40:00 3        55       67       4.48       82.09     
03:40:00-03:45:00 2        39       53       3.77       73.58     
03:45:00-03:50:00 2        9        34       5.88       26.47     
03:50:00-03:55:00 2        14       41       4.88       34.15     
03:55:00-04:00:00 2        61       50       4.00       122.00    
04:00:00-04:05:00 1        30       39       2.56       76.92     
04:05:00-04:10:00 1        33       54       1.85       61.11     
04:10:00-04:15:00 5        34       51       9.80       66.67     
04:15:00-04:20:00 3        28       57       5.26       49.12     
04:20:00-04:25:00 1        79       73       1.37       108.22    
04:25:00-04:30:00 7        55       90       7.78       61.11     
04:30:00-04:35:00 12       59       90       13.33      65.56     
04:35:00-04:40:00 1        76       69       1.45       110.14    
04:40:00-04:45:00 1        61       62       1.61       98.39     
04:45:00-04:50:00 15       109      85       17.65      128.24    
04:50:00-04:55:00 2        29       59       3.39       49.15     
04:55:00-05:00:00 7        88       100      7.00       88.00     
05:00:00-05:05:00 4        62       60       6.67       103.33    
05:05:00-05:10:00 2        20       53       3.77       37.74     
05:10:00-05:15:00 14       77       78       17.95      98.72     
05:15:00-05:20:00 3        32       35       8.57       91.43     
05:20:00-05:25:00 3        39       50       6.00       78.00     
05:25:00-05:30:00 5        48       62       8.06       77.42     
05:30:00-05:35:00 5        33       69       7.25       47.83     
05:35:00-05:40:00 0        11       31       0.00       35.48     
05:40:00-05:45:00 2        45       45       4.44       100.00    
05:45:00-05:50:00 2        37       49       4.08       75.51     
05:50:00-05:55:00 5        18       42       11.90      42.86     
05:55:00-06:00:00 6        66       83       7.23       79.52     
06:00:00-06:05:00 5        63       60       8.33       105.00    
06:05:00-06:10:00 1        57       47       2.13       121.28    
06:10:00-06:15:00 4        50       58       6.90       86.21     
06:15:00-06:20:00 8        64       61       13.11      104.92    
06:20:00-06:25:00 1        33       40       2.50       82.50     
06:25:00-06:30:00 4        25       64       6.25       39.06     
06:30:00-06:35:00 10       44       65       15.38      67.69     
06:35:00-06:40:00 7        38       80       8.75       47.50     
06:40:00-06:45:00 5        63       68       7.35       92.65     
06:45:00-06:50:00 2        25       51       3.92       49.02     
06:50:00-06:55:00 4        37       46       8.70       80.43     
