DCNv2-Full - 6to6_g35.mp4 Full Tracking Report
============================================================
Date: 2026-03-18 11:12:34
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g35.mp4
Frames: 648107 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9177
IDF1:               0.9288
Mostly Tracked (MT):(87.7%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                83.98
Runtime:            02:08:36
Class Switches:     12541

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2751
  MOTORCYCLE      633
  TRICYCLE        326
  VAN             365
  BUS             0
  TRUCK           12
  TOTAL           4087

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
06:20:00-06:25:00 3        52       66       4.55       78.79     
06:25:00-06:30:00 11       60       80       13.75      75.00     
06:30:00-06:35:00 3        38       42       7.14       90.48     
06:35:00-06:40:00 10       99       100      10.00      99.00     
06:40:00-06:45:00 7        70       90       7.78       77.78     
06:45:00-06:50:00 9        61       74       12.16      82.43     
06:50:00-06:55:00 1        18       63       1.59       28.57     
06:55:00-07:00:00 2        25       49       4.08       51.02     
07:00:00-07:05:00 1        24       45       2.22       53.33     
07:05:00-07:10:00 8        42       49       16.33      85.71     
07:10:00-07:15:00 1        32       35       2.86       91.43     
07:15:00-07:20:00 2        36       56       3.57       64.29     
07:20:00-07:25:00 5        71       62       8.06       114.52    
07:25:00-07:30:00 0        17       26       0.00       65.38     
07:30:00-07:35:00 1        26       26       3.85       100.00    
07:35:00-07:40:00 0        2        14       0.00       14.29     
07:40:00-07:45:00 0        5        19       0.00       26.32     
07:45:00-07:50:00 0        22       24       0.00       91.67     
07:50:00-07:55:00 1        12       40       2.50       30.00     
07:55:00-08:00:00 14       52       75       18.67      69.33     
08:00:00-08:05:00 9        71       109      8.26       65.14     
08:05:00-08:10:00 10       38       86       11.63      44.19     
08:10:00-08:15:00 7        70       55       12.73      127.27    
08:15:00-08:20:00 5        34       76       6.58       44.74     
08:20:00-08:25:00 7        29       39       17.95      74.36     
08:25:00-08:30:00 4        45       41       9.76       109.76    
08:30:00-08:35:00 12       59       42       28.57      140.48    
08:35:00-08:40:00 1        35       34       2.94       102.94    
08:40:00-08:45:00 5        59       56       8.93       105.36    
08:45:00-08:50:00 0        23       40       0.00       57.50     
08:50:00-08:55:00 51       32       98       52.04      32.65     
08:55:00-09:00:00 14       17       38       36.84      44.74     
09:00:00-09:05:00 15       120      71       21.13      169.01    
09:05:00-09:10:00 38       124      125      30.40      99.20     
09:10:00-09:15:00 67       327      204      32.84      160.29    
09:15:00-09:20:00 19       279      155      12.26      180.00    
09:20:00-09:25:00 67       244      185      36.22      131.89    
09:25:00-09:30:00 23       187      168      13.69      111.31    
09:30:00-09:35:00 5        119      125      4.00       95.20     
09:35:00-09:40:00 39       177      208      18.75      85.10     
09:40:00-09:45:00 17       163      121      14.05      134.71    
09:45:00-09:50:00 10       83       96       10.42      86.46     
09:50:00-09:55:00 5        99       114      4.39       86.84     
09:55:00-10:00:00 100      151      152      65.79      99.34     
10:00:00-10:05:00 83       127      171      48.54      74.27     
10:05:00-10:10:00 42       137      128      32.81      107.03    
10:10:00-10:15:00 9        33       114      7.89       28.95     
10:15:00-10:20:00 16       154      160      10.00      96.25     
10:20:00-10:25:00 15       121      129      11.63      93.80     
10:25:00-10:30:00 5        101      123      4.07       82.11     
10:30:00-10:35:00 15       94       139      10.79      67.63     
10:35:00-10:40:00 9        75       114      7.89       65.79     
10:40:00-10:45:00 12       100      141      8.51       70.92     
10:45:00-10:50:00 10       65       149      6.71       43.62     
10:50:00-10:55:00 5        49       99       5.05       49.49     
10:55:00-11:00:00 16       79       124      12.90      63.71     
11:00:00-11:05:00 50       235      191      26.18      123.04    
11:05:00-11:10:00 25       170      185      13.51      91.89     
11:10:00-11:15:00 11       131      154      7.14       85.06     
11:15:00-11:20:00 9        55       154      5.84       35.71     
11:20:00-11:25:00 12       84       137      8.76       61.31     
11:25:00-11:30:00 17       123      124      13.71      99.19     
11:30:00-11:35:00 9        99       133      6.77       74.44     
11:35:00-11:40:00 13       144      139      9.35       103.60    
11:40:00-11:45:00 39       112      179      21.79      62.57     
11:45:00-11:50:00 18       94       137      13.14      68.61     
11:50:00-11:55:00 10       37       68       14.71      54.41     
11:55:00-12:00:00 1        38       55       1.82       69.09     

CLASSIFICATION SWITCHES: 12541 total
Frame    ID     From         To          
33       7      car          motorcycle  
621      20     car          van         
639      20     van          car         
644      20     car          van         
680      20     van          car         
698      20     car          van         
703      20     van          car         
887      24     car          van         
888      24     van          car         
894      24     car          van         
897      24     van          car         
903      24     car          van         
904      24     van          car         
1214     33     car          van         
1472     42     car          van         
1489     42     van          car         
1898     52     car          van         
1899     52     van          car         
1900     52     car          van         
1905     52     van          car         
2012     24     car          van         
2013     24     van          car         
2095     42     car          van         
2102     42     van          car         
2663     42     car          van         
2675     42     van          car         
2697     65     car          van         
2698     65     van          car         
3060     36     car          tricycle    
3162     36     tricycle     car         
3200     36     car          van         
3236     36     van          car         
3289     85     car          van         
3297     85     van          car         
3305     85     car          van         
3342     42     car          van         
3345     42     van          car         
3350     85     van          car         
3359     85     car          van         
3360     85     van          car         
3367     85     car          van         
3368     85     van          car         
3382     54     car          van         
3384     54     van          car         
3386     54     car          van         
3468     92     car          van         
3475     92     van          car         
3821     108    car          van         
3822     108    van          car         
3842     108    car          van         
3843     108    van          car         
4462     118    car          van         
5126     136    car          motorcycle  
5132     136    motorcycle   car         
5313     137    car          van         
5315     137    van          car         
5329     137    car          van         
5330     137    van          car         
5501     137    car          van         
5519     137    van          car         
5520     137    car          van         
5541     137    van          car         
5626     159    car          van         
5634     159    van          car         
5635     159    car          van         
5636     159    van          car         
5711     152    car          van         
5721     152    van          car         
5726     159    car          van         
5726     163    van          car         
5727     163    car          van         
5728     163    van          car         
6431     164    car          truck       
6432     164    truck        car         
7181     164    car          truck       
7188     164    truck        car         
7269     178    tricycle     car         
7524     137    car          van         
7525     137    van          car         
7526     152    car          van         
7527     152    van          car         
7535     137    car          truck       
7536     152    car          van         
7538     137    truck        car         
7539     152    van          car         
7540     152    car          van         
7542     152    van          car         
7591     157    car          van         
7594     157    van          car         
7599     157    car          van         
7601     157    van          car         
7681     202    car          van         
7682     202    van          car         
7686     202    car          van         
7687     202    van          car         
7697     202    car          van         
7700     210    motorcycle   car         
7701     202    van          car         
7701     209    car          motorcycle  
7707     210    car          van         
7708     210    van          car         
7728     168    car          van         
7729     209    motorcycle   car         
7730     209    car          motorcycle  
7732     209    motorcycle   tricycle    
7735     209    tricycle     motorcycle  
7736     209    motorcycle   tricycle    
7739     168    van          car         
7740     168    car          van         
7741     168    van          car         
7743     168    car          van         
7789     209    tricycle     motorcycle  
7792     209    motorcycle   car         
7818     210    car          van         
7819     210    van          car         
7991     234    car          van         
7992     234    van          car         
7994     235    van          car         
8082     240    motorcycle   car         
8084     240    car          motorcycle  
8804     245    motorcycle   tricycle    
8823     245    tricycle     motorcycle  
8831     245    motorcycle   tricycle    
8834     245    tricycle     motorcycle  
8837     245    motorcycle   tricycle    
8838     245    tricycle     motorcycle  
8841     245    motorcycle   tricycle    
8846     245    tricycle     motorcycle  
9317     249    car          van         
9321     249    van          car         
9331     249    car          van         
9334     249    van          car         
9354     250    car          motorcycle  
9471     251    car          van         
9472     249    car          van         
9486     249    van          car         
9492     249    car          van         
9495     251    van          car         
9498     251    car          van         
9502     251    van          car         
9503     249    van          car         
9504     251    car          van         
9507     251    van          car         
9535     253    motorcycle   car         
9543     253    car          motorcycle  
10044    261    tricycle     car         
10247    269    car          van         
10248    269    van          car         
10764    271    car          van         
10824    271    van          car         
10854    271    car          van         
10861    285    car          van         
10862    285    van          car         
10884    271    van          car         
12491    308    car          van         
12493    308    van          car         
12502    308    car          van         
12505    308    van          car         
12625    271    car          van         
12628    271    van          car         
12629    271    car          van         
12650    271    van          car         
12842    271    car          van         
12855    271    van          car         
12863    318    car          van         
12870    318    van          car         
12871    318    car          van         
12935    318    van          car         
12947    318    car          van         
12949    318    van          car         
12952    271    car          van         
12954    318    car          van         
12954    326    van          car         
12955    318    van          car         
12957    326    car          van         
12958    318    car          van         
12959    318    van          car         
12960    318    car          van         
12961    318    van          car         
