DCNv3-Liu - 6to6_g2.mp4 Full Tracking Report
============================================================
Date: 2026-03-20 16:19:02
Model: /home/migui/YOLO_outputs/100_dcnv3_yolov8n_liu/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g2.mp4
Frames: 648000 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9150
IDF1:               0.9175
ID Switches:        1526
Mostly Tracked (MT):(85.7%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                100.19
Runtime:            01:47:48
Class Switches:     7258

TOTAL VEHICLE COUNTS
------------------------------
  CAR             2686
  MOTORCYCLE      386
  TRICYCLE        46
  VAN             469
  BUS             0
  TRUCK           0
  TOTAL           3587

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
09:40:00-09:45:00 6        58       62       9.68       93.55     
09:45:00-09:50:00 8        67       44       18.18      152.27    
09:50:00-09:55:00 6        44       37       16.22      118.92    
09:55:00-10:00:00 10       113      82       12.20      137.80    
10:00:00-10:05:00 12       69       72       16.67      95.83     
10:05:00-10:10:00 4        53       48       8.33       110.42    
10:10:00-10:15:00 6        66       49       12.24      134.69    
10:15:00-10:20:00 6        24       29       20.69      82.76     
10:20:00-10:25:00 11       91       67       16.42      135.82    
10:25:00-10:30:00 7        51       60       11.67      85.00     
10:30:00-10:35:00 3        30       37       8.11       81.08     
10:35:00-10:40:00 6        47       41       14.63      114.63    
10:40:00-10:45:00 5        45       34       14.71      132.35    
10:45:00-10:50:00 4        16       26       15.38      61.54     
10:50:00-10:55:00 5        27       39       12.82      69.23     
10:55:00-11:00:00 5        14       28       17.86      50.00     
11:00:00-11:05:00 3        25       32       9.38       78.12     
11:05:00-11:10:00 10       23       38       26.32      60.53     
11:10:00-11:15:00 2        21       36       5.56       58.33     
11:15:00-11:20:00 4        6        39       10.26      15.38     
11:20:00-11:25:00 17       60       68       25.00      88.24     
11:25:00-11:30:00 5        9        29       17.24      31.03     
11:30:00-11:35:00 6        9        32       18.75      28.12     
11:35:00-11:40:00 6        42       37       16.22      113.51    
11:40:00-11:45:00 3        14       30       10.00      46.67     
11:45:00-11:50:00 4        17       24       16.67      70.83     
11:50:00-11:55:00 2        29       24       8.33       120.83    
11:55:00-12:00:00 2        17       12       16.67      141.67    

CLASSIFICATION SWITCHES: 7258 total
Frame    ID     From         To          
62       3      car          van         
71       3      van          car         
84       3      car          van         
85       3      van          car         
87       3      car          van         
89       3      van          car         
193      15     motorcycle   tricycle    
196      15     tricycle     motorcycle  
197      15     motorcycle   tricycle    
199      15     tricycle     motorcycle  
244      16     motorcycle   car         
265      18     car          van         
266      18     van          car         
549      31     motorcycle   car         
569      33     motorcycle   car         
570      33     car          motorcycle  
864      45     motorcycle   car         
883      42     motorcycle   car         
907      47     tricycle     car         
1081     50     car          van         
1082     50     van          car         
1091     50     car          van         
1093     50     van          car         
1098     50     car          van         
1100     50     van          car         
1860     90     motorcycle   car         
2141     110    car          van         
2149     110    van          car         
2150     110    car          van         
2152     110    van          car         
2167     110    car          van         
2192     110    van          car         
2194     110    car          van         
2200     110    van          car         
2201     110    car          van         
2227     110    van          car         
2239     110    car          van         
2240     110    van          car         
2243     110    car          van         
2567     139    car          van         
2569     139    van          car         
2612     145    car          van         
2613     145    van          car         
2616     145    car          van         
2617     145    van          car         
2717     152    car          van         
2719     152    van          car         
2721     150    car          van         
2723     150    van          car         
2736     152    car          van         
2737     152    van          car         
2750     152    car          van         
2751     152    van          car         
2753     152    car          van         
2761     152    van          car         
3081     175    van          car         
3091     181    van          car         
3093     181    car          van         
3299     187    car          van         
3300     187    van          car         
3385     200    car          van         
3390     198    car          van         
3412     199    car          van         
3420     199    van          car         
3422     199    car          van         
3423     199    van          car         
3452     200    van          car         
3508     216    car          van         
3509     216    van          car         
3511     216    car          van         
3512     216    van          car         
4031     238    car          van         
4036     238    van          car         
4054     239    car          van         
4134     242    van          car         
4135     242    car          van         
4135     247    van          car         
4137     242    van          car         
4148     242    car          van         
4168     252    motorcycle   car         
4170     242    van          car         
4170     252    car          van         
4178     242    car          van         
4178     252    van          car         
4180     242    van          car         
4181     242    car          van         
4182     242    van          car         
4184     258    van          car         
4191     242    car          van         
4193     258    car          van         
4195     258    van          car         
4200     260    motorcycle   car         
4222     259    car          van         
4224     259    van          car         
4236     259    car          van         
4237     259    van          car         
4245     259    car          van         
4247     259    van          car         
4400     274    car          van         
4407     274    van          car         
4412     274    car          van         
4413     274    van          car         
4415     274    car          van         
4438     274    van          car         
4443     274    car          van         
4463     274    van          car         
4464     274    car          van         
4483     274    van          car         
4555     288    car          tricycle    
4561     288    tricycle     car         
4790     298    van          car         
4795     298    car          van         
4796     298    van          car         
4799     298    car          van         
4804     298    van          car         
4805     298    car          van         
4813     298    van          car         
4815     298    car          van         
4823     298    van          car         
4830     298    car          van         
4845     298    van          car         
4987     317    car          van         
4988     317    van          car         
4995     317    car          van         
4996     317    van          car         
4999     317    car          van         
5005     317    van          car         
5008     317    car          van         
5010     317    van          car         
5018     317    car          van         
5024     317    van          car         
5026     317    car          van         
5027     317    van          car         
5078     325    car          van         
5100     325    van          car         
5119     325    car          van         
5121     325    van          car         
5122     325    car          van         
5125     325    van          car         
5126     333    van          car         
5127     333    car          van         
5129     333    van          car         
5129     325    car          van         
5130     333    car          van         
5130     325    van          car         
5140     333    van          car         
5140     325    car          van         
5143     325    van          car         
5144     325    car          van         
5265     342    van          car         
5321     354    car          van         
5517     367    car          tricycle    
5526     367    tricycle     car         
5606     370    car          van         
5608     370    van          car         
5639     384    tricycle     car         
5775     387    van          car         
5777     387    car          van         
5819     387    van          truck       
5820     387    truck        van         
5844     387    van          car         
5885     394    car          van         
5893     394    van          car         
5894     394    car          van         
5896     394    van          car         
5935     400    car          van         
5969     400    van          car         
5973     400    car          van         
5978     400    van          car         
6034     406    car          van         
6045     406    van          car         
6150     416    motorcycle   car         
6178     400    car          van         
6198     400    van          car         
6221     400    car          van         
6223     400    van          car         
6245     417    motorcycle   car         
6246     417    car          motorcycle  
6247     417    motorcycle   car         
6351     427    car          van         
6356     421    car          van         
6357     427    van          car         
6359     427    car          van         
6360     427    van          car         
6367     421    van          car         
6401     431    tricycle     car         
6414     435    tricycle     motorcycle  
6420     435    motorcycle   tricycle    
6421     435    tricycle     car         
6423     435    car          tricycle    
6425     427    car          van         
6427     435    tricycle     car         
6431     427    van          car         
6435     438    car          van         
6437     438    van          car         
6452     428    car          van         
6479     428    van          car         
6484     428    car          van         
6485     428    van          car         
6487     427    car          van         
6488     427    van          car         
6497     427    car          van         
6509     427    van          car         
6524     428    car          van         
6525     428    van          car         
6525     444    car          van         
6526     428    car          van         
6526     444    van          car         
6526     427    car          van         
6531     427    van          car         
6531     428    van          car         
6532     427    car          van         
6533     427    van          car         
6537     428    car          van         
6537     447    van          car         
6538     428    van          car         
6538     447    car          van         
6540     428    car          van         
6543     450    car          van         
6543     428    van          car         
6545     428    car          van         
6551     428    van          car         
6552     428    car          van         
6553     428    van          car         
6566     428    car          van         
6567     428    van          car         
6579     428    car          van         
6579     459    van          car         
6580     459    car          van         
6608     463    van          car         
6979     488    car          van         
6983     488    van          car         
7086     507    car          van         
7088     507    van          car         
7091     507    car          van         
