DCNv2-Full - 6to6_g3.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 01:31:12
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g3.mp4
Frames: 562214 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9373
IDF1:               0.9387
ID Switches:        643
Mostly Tracked (MT): (91.5%)
Mostly Lost (ML):    (0.2%)
GFLOPs:             nan
FPS:                102.06
Runtime:            01:31:48
Class Switches:     6695

TOTAL VEHICLE COUNTS
------------------------------
  CAR             4708
  MOTORCYCLE      326
  TRICYCLE        194
  VAN             504
  BUS             1
  TRUCK           10
  TOTAL           5743

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
CLASS SWITCHES - PER SECOND
------------------------------------------------------------
Total (all tracks):                     3966
On Counted Vehicles:                    3368
Avg per Affected Counted Veh:           2.38
Per Hour:                               381.00

ID & CLASS SWITCHES PER 5-MINUTE INTERVAL
--------------------------------------------------------------
Interval           IDSw     ClsSw    Tracks   IDSw%      ClsSw%    
00:00:00-00:05:00 4        68       89       4.49       76.40     
00:05:00-00:10:00 6        75       109      5.50       68.81     
00:10:00-00:15:00 10       94       118      8.47       79.66     
00:15:00-00:20:00 5        97       107      4.67       90.65     
00:20:00-00:25:00 1        74       114      0.88       64.91     
00:25:00-00:30:00 6        67       96       6.25       69.79     
00:30:00-00:35:00 9        98       123      7.32       79.67     
00:35:00-00:40:00 10       91       112      8.93       81.25     
00:40:00-00:45:00 9        128      100      9.00       128.00    
00:45:00-00:50:00 5        31       85       5.88       36.47     
00:50:00-00:55:00 6        98       105      5.71       93.33     
00:55:00-01:00:00 16       149      130      12.31      114.62    
01:00:00-01:05:00 5        32       100      5.00       32.00     
01:05:00-01:10:00 9        37       103      8.74       35.92     
01:10:00-01:15:00 6        42       106      5.66       39.62     
01:15:00-01:20:00 8        78       116      6.90       67.24     
01:20:00-01:25:00 8        132      121      6.61       109.09    
01:25:00-01:30:00 8        76       133      6.02       57.14     
01:30:00-01:35:00 26       166      152      17.11      109.21    
01:35:00-01:40:00 17       124      124      13.71      100.00    
01:40:00-01:45:00 15       113      132      11.36      85.61     
01:45:00-01:50:00 9        105      133      6.77       78.95     
01:50:00-01:55:00 14       116      144      9.72       80.56     
01:55:00-02:00:00 25       201      169      14.79      118.93    
02:00:00-02:05:00 21       104      135      15.56      77.04     
02:05:00-02:10:00 16       104      142      11.27      73.24     
02:10:00-02:15:00 16       166      126      12.70      131.75    
02:15:00-02:20:00 31       156      150      20.67      104.00    
02:20:00-02:25:00 10       91       102      9.80       89.22     
02:25:00-02:30:00 9        146      78       11.54      187.18    
02:30:00-02:35:00 4        42       70       5.71       60.00     
02:35:00-02:40:00 2        26       49       4.08       53.06     
02:40:00-02:45:00 3        9        42       7.14       21.43     
02:45:00-02:50:00 2        29       44       4.55       65.91     
02:50:00-02:55:00 3        36       70       4.29       51.43     
02:55:00-03:00:00 0        37       52       0.00       71.15     
03:00:00-03:05:00 1        18       53       1.89       33.96     
03:05:00-03:10:00 4        64       93       4.30       68.82     
03:10:00-03:15:00 2        76       91       2.20       83.52     
03:15:00-03:20:00 3        72       70       4.29       102.86    
03:20:00-03:25:00 5        69       65       7.69       106.15    
03:25:00-03:30:00 6        35       70       8.57       50.00     
03:30:00-03:35:00 2        33       61       3.28       54.10     
03:35:00-03:40:00 3        46       62       4.84       74.19     
03:40:00-03:45:00 3        37       48       6.25       77.08     
03:45:00-03:50:00 0        16       30       0.00       53.33     
03:50:00-03:55:00 1        23       41       2.44       56.10     
03:55:00-04:00:00 2        46       49       4.08       93.88     
04:00:00-04:05:00 1        30       38       2.63       78.95     
04:05:00-04:10:00 2        35       47       4.26       74.47     
04:10:00-04:15:00 2        37       39       5.13       94.87     
04:15:00-04:20:00 0        12       48       0.00       25.00     
04:20:00-04:25:00 3        64       71       4.23       90.14     
04:25:00-04:30:00 1        24       77       1.30       31.17     
04:30:00-04:35:00 3        35       71       4.23       49.30     
04:35:00-04:40:00 4        37       72       5.56       51.39     
04:40:00-04:45:00 2        37       52       3.85       71.15     
04:45:00-04:50:00 9        101      83       10.84      121.69    
04:50:00-04:55:00 1        30       52       1.92       57.69     
04:55:00-05:00:00 2        87       89       2.25       97.75     
05:00:00-05:05:00 3        58       61       4.92       95.08     
05:05:00-05:10:00 1        11       48       2.08       22.92     
05:10:00-05:15:00 4        42       63       6.35       66.67     
05:15:00-05:20:00 4        12       37       10.81      32.43     
05:20:00-05:25:00 0        11       41       0.00       26.83     
05:25:00-05:30:00 1        24       49       2.04       48.98     
05:30:00-05:35:00 6        15       54       11.11      27.78     
05:35:00-05:40:00 1        3        35       2.86       8.57      
05:40:00-05:45:00 3        57       48       6.25       118.75    
05:45:00-05:50:00 1        31       45       2.22       68.89     
05:50:00-05:55:00 2        17       31       6.45       54.84     
05:55:00-06:00:00 3        18       74       4.05       24.32     
06:00:00-06:05:00 3        38       53       5.66       71.70     
06:05:00-06:10:00 2        41       46       4.35       89.13     
06:10:00-06:15:00 6        46       61       9.84       75.41     
06:15:00-06:20:00 2        29       54       3.70       53.70     
06:20:00-06:25:00 2        23       40       5.00       57.50     
06:25:00-06:30:00 1        29       54       1.85       53.70     
06:30:00-06:35:00 1        32       49       2.04       65.31     
06:35:00-06:40:00 3        50       66       4.55       75.76     
06:40:00-06:45:00 3        26       69       4.35       37.68     
06:45:00-06:50:00 3        24       47       6.38       51.06     
06:50:00-06:55:00 4        25       44       9.09       56.82     
06:55:00-07:00:00 8        50       57       14.04      87.72     
07:00:00-07:05:00 0        35       34       0.00       102.94    
07:05:00-07:10:00 6        63       68       8.82       92.65     
07:10:00-07:15:00 2        35       65       3.08       53.85     
07:15:00-07:20:00 6        91       74       8.11       122.97    
07:20:00-07:25:00 4        74       56       7.14       132.14    
07:25:00-07:30:00 3        73       49       6.12       148.98    
07:30:00-07:35:00 4        75       72       5.56       104.17    
07:35:00-07:40:00 1        35       69       1.45       50.72     
07:40:00-07:45:00 8        68       68       11.76      100.00    
07:45:00-07:50:00 9        41       60       15.00      68.33     
07:50:00-07:55:00 7        53       87       8.05       60.92     
07:55:00-08:00:00 6        39       65       9.23       60.00     
08:00:00-08:05:00 4        12       61       6.56       19.67     
08:05:00-08:10:00 4        27       50       8.00       54.00     
08:10:00-08:15:00 3        10       42       7.14       23.81     
08:15:00-08:20:00 5        28       53       9.43       52.83     
08:20:00-08:25:00 1        0        28       3.57       0.00      
08:25:00-08:30:00 5        47       67       7.46       70.15     
08:30:00-08:35:00 4        38       73       5.48       52.05     
08:35:00-08:40:00 5        61       53       9.43       115.09    
08:40:00-08:45:00 0        29       55       0.00       52.73     
08:45:00-08:50:00 3        74       60       5.00       123.33    
08:50:00-08:55:00 6        57       68       8.82       83.82     
08:55:00-09:00:00 11       36       72       15.28      50.00     
09:00:00-09:05:00 8        21       69       11.59      30.43     
09:05:00-09:10:00 3        40       75       4.00       53.33     
09:10:00-09:15:00 7        77       92       7.61       83.70     
09:15:00-09:20:00 4        18       64       6.25       28.12     
09:20:00-09:25:00 2        31       62       3.23       50.00     
09:25:00-09:30:00 1        21       68       1.47       30.88     
09:30:00-09:35:00 9        112      80       11.25      140.00    
09:35:00-09:40:00 6        52       66       9.09       78.79     
09:40:00-09:45:00 3        33       59       5.08       55.93     
09:45:00-09:50:00 1        31       35       2.86       88.57     
09:50:00-09:55:00 2        10       50       4.00       20.00     
09:55:00-10:00:00 3        19       46       6.52       41.30     
10:00:00-10:05:00 3        37       73       4.11       50.68     
10:05:00-10:10:00 0        28       54       0.00       51.85     
10:10:00-10:15:00 1        28       49       2.04       57.14     
10:15:00-10:20:00 0        18       63       0.00       28.57     
10:20:00-10:25:00 0        4        37       0.00       10.81     

CLASSIFICATION SWITCHES: 6695 total
Frame    ID     From         To          
559      5      van          car         
709      10     car          truck       
713      10     truck        car         
882      16     car          van         
902      18     van          car         
925      16     van          car         
926      18     car          van         
933      18     van          car         
942      18     car          van         
962      18     van          car         
1098     24     car          van         
1101     23     van          car         
1104     24     van          car         
1112     24     car          van         
1131     25     van          car         
1134     24     van          car         
1134     25     car          van         
1135     24     car          van         
1135     25     van          car         
1136     24     van          car         
1138     24     car          van         
1142     24     van          car         
1161     25     car          van         
1161     28     van          car         
1166     25     van          car         
1171     25     car          van         
1172     28     car          van         
1184     25     van          car         
1248     31     car          van         
1249     31     van          car         
1307     33     car          van         
1320     33     van          car         
1321     33     car          van         
1323     33     van          car         
1330     33     car          truck       
1332     33     truck        van         
1334     33     van          truck       
1337     33     truck        van         
1338     33     van          truck       
1339     33     truck        van         
1343     33     van          car         
1344     33     car          van         
1360     33     van          car         
1794     46     tricycle     car         
1795     46     car          tricycle    
1805     46     tricycle     car         
2229     56     car          van         
2250     56     van          car         
2319     58     car          van         
2320     58     van          car         
2558     62     car          van         
2559     62     van          car         
2844     67     car          van         
2849     67     van          car         
2851     67     car          van         
2853     67     van          car         
2854     67     car          van         
2862     67     van          car         
2865     67     car          van         
2890     70     car          truck       
2897     70     truck        car         
2907     67     van          car         
3440     83     car          tricycle    
3451     83     tricycle     car         
3995     90     car          van         
4044     90     van          car         
4068     96     truck        car         
4247     103    van          car         
4694     131    car          van         
4739     137    van          car         
4757     137    car          van         
4761     131    van          car         
4804     137    van          car         
4807     137    car          van         
4808     137    van          car         
4809     137    car          van         
4814     137    van          car         
4861     142    van          car         
4862     142    car          van         
4864     142    van          car         
4865     142    car          van         
4865     143    van          car         
4867     142    van          car         
4881     142    car          van         
4919     142    van          car         
4931     142    car          van         
4932     142    van          car         
4984     148    car          truck       
4985     148    truck        car         
5282     161    car          van         
5290     161    van          car         
5293     161    car          van         
5294     161    van          car         
5516     167    car          tricycle    
5518     167    tricycle     car         
5566     173    car          van         
5569     173    van          car         
5572     166    van          car         
5575     166    car          van         
5578     173    car          van         
5579     166    van          car         
5712     173    van          car         
5713     173    car          van         
5714     173    van          car         
5721     173    car          van         
5737     180    car          van         
5746     179    car          tricycle    
5749     179    tricycle     car         
5866     180    van          car         
5924     190    van          car         
6066     195    van          car         
6076     195    car          van         
6122     200    car          tricycle    
6131     200    tricycle     car         
6214     195    van          car         
6704     213    van          car         
6707     213    car          van         
6709     213    van          car         
6748     214    car          van         
6749     214    van          car         
6867     219    car          van         
6870     219    van          car         
6968     223    van          car         
8455     236    motorcycle   car         
8633     243    car          van         
8635     243    van          car         
8685     247    car          van         
8687     247    van          car         
8691     247    car          van         
8693     247    van          car         
8695     247    car          van         
8696     247    van          truck       
8697     247    truck        van         
8703     247    van          car         
8706     247    car          van         
8717     247    van          car         
8737     248    car          van         
8744     248    van          car         
8745     248    car          van         
8773     248    van          car         
8857     252    van          car         
8869     257    car          truck       
8888     257    truck        car         
9058     267    van          car         
9147     272    van          car         
9150     272    car          van         
9163     274    car          van         
9166     274    van          car         
9409     283    car          van         
9410     283    van          car         
9474     290    van          car         
9495     290    car          van         
9505     290    van          car         
9509     290    car          van         
9536     290    van          car         
9538     290    car          van         
9541     290    van          car         
9635     299    car          van         
9636     299    van          car         
9662     300    car          truck       
9663     300    truck        car         
9678     297    van          car         
9920     309    van          car         
9937     312    truck        van         
9957     314    car          van         
9958     314    van          car         
9964     312    van          truck       
9967     312    truck        van         
9993     316    van          car         
10108    318    van          car         
10123    321    car          van         
10140    321    van          car         
10142    321    car          van         
10209    321    van          car         
10220    326    car          van         
10230    326    van          car         
10264    326    car          van         
10274    326    van          car         
10346    327    van          car         
10644    340    car          van         
10651    340    van          car         
10652    340    car          van         
10656    340    van          car         
10674    340    car          van         
