DCNv2-Full - 6to6_g29.mp4 Full Tracking Report
============================================================
Date: 2026-03-19 07:42:05
Model: /home/migui/Downloads/dcnv2-yolov8-neck-full-20260318T004120Z-1-001/dcnv2-yolov8-neck-full/weights/best.pt
Video: /media/mydrive/GitHub/ultralytics/videos/6to6_g29.mp4
Frames: 648099 | FPS(video): 15 | Duration: 12:00:00

TRACKING METRICS
------------------------------
MOTA:               0.9285
IDF1:               0.9392
ID Switches:        1367
Mostly Tracked (MT):(87.2%)
Mostly Lost (ML):   (0.6%)
GFLOPs:             nan
FPS:                97.66
Runtime:            01:50:36
Class Switches:     5363

TOTAL VEHICLE COUNTS
------------------------------
  CAR             3969
  MOTORCYCLE      470
  TRICYCLE        121
  VAN             599
  BUS             1
  TRUCK           2
  TOTAL           5162

VEHICLE COUNTS PER 5-MINUTE INTERVAL
------------------------------------------------------------
Interval           Car      Motorcycle Tricycle Van      Bus      Truck    Total   
23456    284    car          van         
23458    284    van          car         
23460    284    car          van         
23472    368    car          van         
23477    368    van          car         
23487    283    van          car         
23489    368    car          van         
23500    368    van          car         
23527    368    car          van         
23639    373    car          van         
23740    304    car          van         
23746    304    van          car         
23864    380    car          van         
23867    380    van          car         
23893    380    car          van         
23898    380    van          car         
23991    373    van          car         
24176    420    van          car         
24215    420    car          van         
24233    419    car          van         
24239    419    van          car         
24248    420    van          car         
24249    420    car          van         
24264    420    van          car         
24283    419    car          van         
24284    419    van          car         
24285    419    car          van         
24286    420    car          van         
24289    419    van          car         
24292    419    car          van         
24356    427    van          car         
24462    419    van          car         
24463    419    car          van         
24465    419    van          car         
24470    420    van          car         
24470    430    van          car         
24471    430    car          van         
24475    430    van          car         
24484    430    car          van         
24528    427    car          van         
24531    428    car          van         
24536    427    van          car         
24566    427    car          van         
24567    427    van          car         
24611    427    car          van         
24627    427    van          car         
24628    427    car          van         
24651    427    van          car         
24656    427    car          van         
24664    427    van          car         
24665    427    car          van         
24768    428    van          car         
24837    456    car          van         
24844    456    van          car         
24845    456    car          van         
24892    456    van          car         
24893    456    car          van         
24895    456    van          car         
24909    456    car          van         
25168    467    car          van         
25170    467    van          car         
26442    504    car          van         
26446    504    van          car         
26460    504    car          van         
26483    504    van          car         
30977    504    car          van         
30978    504    van          car         
31109    504    car          van         
31648    566    car          van         
31650    566    van          car         
31654    566    car          van         
31656    566    van          car         
31657    566    car          van         
31689    566    van          car         
31691    566    car          van         
31797    571    van          car         
32627    631    car          van         
32629    631    van          car         
32639    631    car          van         
32646    631    van          car         
32655    637    car          van         
32656    631    car          van         
32666    637    van          car         
32675    631    van          car         
32677    631    car          van         
32680    637    car          van         
32683    637    van          car         
32684    631    van          car         
32685    631    car          van         
32685    637    car          van         
32700    637    van          car         
32721    637    car          van         
32726    637    van          car         
32727    637    car          van         
32730    637    van          car         
32733    637    car          van         
32734    637    van          car         
32737    637    car          van         
32744    637    van          car         
32745    637    car          van         
32747    631    van          car         
32757    637    van          car         
32765    637    car          van         
32779    650    car          van         
32788    650    van          car         
32861    637    van          car         
32869    650    car          van         
32903    650    van          car         
32910    650    car          van         
32987    650    van          car         
33680    690    car          van         
33687    692    car          van         
